Id,metric_alias_widget_4_0,metric_alias_widget_4_1,metric_alias_widget_4_2,metric_alias_widget_4_3,metric_alias_widget_4_4,metric_alias_widget_4_5,metric_alias_widget_4_6
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,
Full label,us-east-2:AWS/EC2 InstanceId:i-03983739a506f7b2b NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0216596db3dae8025 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-05d2004102c372fe1 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0d453c3b5e2c66f64 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-020e1adf7d1b378b0 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-04e9bb8502367fbd7 NetworkOut Average 300,us-east-2:AWS/EC2 InstanceId:i-0200c7fe7c3d379b4 NetworkOut Average 300
Label,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut,NetworkOut
2024/11/14 02:50:00,17153.8,16944.6,16884.4,17568.4,40090.2,38083.8,29625.4
2024/11/14 02:55:00,18986.8,17578.6,17175.6,20249,37011.8,39432.6,27350.4
2024/11/14 03:00:00,45387,47179.6,46668.6,45408,65528.8,64244.2,34830
2024/11/14 03:05:00,46640,45653.8,43388.6,46254,61664.6,109424.8,32613
2024/11/14 03:10:00,44000,46401,46437.8,44723.8,61113.4,92930.4,35543.8
2024/11/14 03:15:00,48367.2,45097.8,45437,48408.4,61353,66937.8,32690.8
2024/11/14 03:20:00,44115.8,44017.6,46594.2,45879.6,61438,69675.4,35438.4
2024/11/14 03:25:00,46215.2,44632.8,46108.8,48769.6,60941,61919.6,33934.2
2024/11/14 03:30:00,47246.6,48830.8,45872.2,43544,61739.8,61301.4,34476
2024/11/14 03:35:00,43339.8,45322.4,45676.2,49546.6,63320.6,65925.8,35439.2
2024/11/14 03:40:00,45918.4,45679.8,44649.4,44834.6,66383.4,67592.6,33776.8
2024/11/14 03:45:00,46262.2,48420.4,47457.4,46544.4,59911.8,64287,33806.4
2024/11/14 03:50:00,46053,45053.8,45948.6,45939.2,67161.6,64539,33577.4
2024/11/14 03:55:00,45895.2,45126,45996.4,46316.6,63712,61822,34148.8
2024/11/14 04:00:00,47153.4,44828.4,45772.8,47430.4,61519.2,60984.6,33385.4
2024/11/14 04:05:00,45302,44720.4,45023,44298.6,63467.4,61293.8,36005.2
2024/11/14 04:10:00,45193.8,48106.6,45897.2,45000.2,63440.8,61806.8,32690.2
2024/11/14 04:15:00,48057.6,47258.8,47981.2,48446.2,65227.6,63305.6,38216.8
2024/11/14 04:20:00,27484.4,33309.8,28541.6,31275.2,57558.6,50831.6,36816.6
2024/11/14 04:25:00,12173,13064.4,13150.2,13204.8,34266,34254.2,26394.6